file,emotion,text
/path_to_wavs/Ses01F_impro01_F000.wav,e0,"EXCUSE ME ."
/path_to_wavs/Ses01F_impro01_F001.wav,e0,"YEAH ."
/path_to_wavs/Ses01F_impro01_F002.wav,e0,"IS THERE A PROBLEM ."
/path_to_wavs/Ses01F_impro01_F005.wav,e0,"WELL WHAT'S  THE PROBLEM LET ME CHANGE IT ."
/path_to_wavs/Ses01F_impro01_F012.wav,e2,"THAT'S OUT OF CONTROL ."
/path_to_wavs/Ses01F_impro01_F014.wav,e0,"CLEARLY . YOU KNOW DO YOU HAVE LIKE A SUPERVISOR OR SOMETHING ."
/path_to_wavs/Ses01F_impro01_M011.wav,e2,"I  DON'T UNDERSTAND WHY THIS IS SO COMPLICATED FOR PEOPLE WHEN THEY GET HERE . IT'S JUST A SIMPLE FORM I JUST NEED AN ID ."
/path_to_wavs/Ses01F_impro01_M013.wav,e2,"YEAH  DO YOU  WANT . TO SEE MY SUPERVISOR HUH YEAH DO YOU WANT TO SEE MY SUPERVISOR FINE I'LL BE RIGHT BACK ."
/path_to_wavs/Ses01F_impro02_F000.wav,e3,"DID YOU GET THE MAIL SO YOU SAW MY LETTER ."
/path_to_wavs/Ses01F_impro02_F001.wav,e3,"YEAH I KNOW ."
/path_to_wavs/Ses01F_impro02_F002.wav,e3,"I DON'T KNOW I . PUT IN THAT REQUEST TOO THEY DIDN'T ."
/path_to_wavs/Ses01F_impro02_F003.wav,e0,"I GUESS YOU KNOW EVERYBODY HAS TO MAKE . SACRIFICES ."
/path_to_wavs/Ses01F_impro02_F004.wav,e3,"THERE'S PEOPLE THAT HAVE GIVEN MORE THOUGH . YOU KNOW ."
/path_to_wavs/Ses01F_impro02_F005.wav,e3,"I KNOW ."
/path_to_wavs/Ses01F_impro02_F006.wav,e0,"THERE'S BABIES OVER THERE THOUGH  THAT NEED MOTHERS ."
/path_to_wavs/Ses01F_impro02_F008.wav,e3,"JUST YOU KNOW KICKING MYSELF ."
